Taxonomy ID,Domain,Status,Proposal Name,Genome Name,Taxon Object ID,NCBI Taxon ID,RefSeq Project ID,GenBank Project ID,Phylum,Class,Order,Family,Genus,Species,Strain,Sequencing Center,IMG Submission ID,GOLD ID,Biotic Relationships,Body Site,Body Subsite,Cell Arrangement,Cell Shape,Diseases,Energy Source,Ecosystem,Ecosystem Category,Ecosystem Type,Ecosystem Subtype,Isolation,Specific Ecosystem,Motility,Metabolism,Oxygen Requirement,Phenotype,Salinity,Sporulation,Temperature Range,Genome Size,Gene Count,16S rRNA Count,Paralogs Count,Paralogs %,KEGG Count,KEGG %,MetaCyc Count,MetaCyc %,IMG Pathwawy Count,IMG Pathway %
647533100,Archaea,Draft,zzz,Aciduliprofundum boonei T469,647533100,439481,54657,19277,Euryarchaeota,Thermoplasmata,Aciduliprofundales,Aciduloprofundaceae,Aciduliprofundum,boonei,T469,"J. Craig Venter Institute, Portland State Univ",,Gi01447,Free living,,,,Coccus-shaped,None,Chemolithoautotroph,,,,,Free living,,Motile,,Facultative,Acidophile,,,Thermophile,2981805,3043,1,2634,86.56,825,27.11,507,16.66,187,6.15
646564501,Archaea,Finished,CSP_300154_796307,Aciduliprofundum boonei T469,646564501,439481,43333,38403,Euryarchaeota,Thermoplasmata,Aciduliprofundales,Aciduloprofundaceae,Aciduliprofundum,boonei,T469,DOE Joint Genome Institute,,Gc01221,Free living,,,,Coccus-shaped,None,Chemolithoautotroph,,,,,Free living,,Motile,,Facultative,Acidophile,,,Thermophile,1486778,1587,1,124,7.81,471,29.68,287,18.08,114,7.18
638154501,Archaea,Finished,zzz,Aeropyrum pernix K1,638154501,272557,57757,211,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,pernix,K1,NITE,,Gc00022,Free living,,,,Sphere-shaped,None,"Chemolithoautotroph, Heterotroph",,,,,Free living,,Motile,,Aerobe,,,,Hyperthermophile,1669695,2820,1,110,3.9,544,19.29,324,11.49,162,5.74
638154502,Archaea,Finished,zzz,"Archaeoglobus fulgidus VC-16, DSM 4304",638154502,224325,57717,104,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,fulgidus,DSM 4304,"J. Craig Venter Institute, Univ of Illinois at Urbana-Champaign",,Gc00011,Free living,,,,,None,Chemolithoautotroph,,,,,Free living,,Motile,Sulfate reducer,Obligate anaerobe,"Piezophile, Potential Pathogen",,,Hyperthermophile,2178400,2519,1,431,17.11,722,28.66,467,18.54,228,9.05
646311906,Archaea,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Archaeoglobus profundus DSM 5631,646311906,572546,43493,32583,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,profundus,DSM 5631,"DOE Joint Genome Institute, DSMZ",,Gc01188,Free living,,,"Singles, Pairs",Coccus-shaped,None,Chemolithoautotroph,,,,,Free living,,Nonmotile,,Anaerobe,,,Nonsporulating,Hyperthermophile,1563423,1911,1,167,8.74,516,27,320,16.75,158,8.27
641228483,Archaea,Finished,Caldivirga maquilingensis IC-167,Caldivirga maquilingensis IC-167,641228483,397948,58711,17421,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga,maquilingensis,IC-167,DOE Joint Genome Institute,,Gc00674,Free living,,,Singles,Rod-shaped,None,Heterotroph,,,,,Free living,,Nonmotile,,Aerobe,,,Nonsporulating,Hyperthermophile,2077567,2011,1,203,10.09,617,30.68,410,20.39,204,10.14
640753014,Archaea,Finished,zzz,Candidatus Methanoregula boonei 6A8,640753014,456442,58815,18505,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,boonei,boonei 6A8,DOE Joint Genome Institute,,Gc00629,Free living,,,Singles,Rod-shaped,None,Lithotroph,,,,,Free living,,,Methanogen,Anaerobe,Acidophile,,,Mesophile,2542943,2518,1,424,16.84,688,27.32,421,16.72,198,7.86
643348540,Archaea,Finished,zzz,Desulfurococcus kamchatkensis 1221n,643348540,490899,59133,28141,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,kamchatkensis,1221n,"Center of Bioengineering, INMI-RAS",,Gc00873,Free living,,,,Coccus-shaped,None,Organotroph,,,,,Free living,,Nonmotile,,Obligate anaerobe,,,,Hyperthermophile,1365223,1521,1,101,6.64,444,29.19,243,15.98,110,7.23
649633040,Archaea,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Desulfurococcus mucosus DSM 2162,649633040,765177,62227,48641,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,mucosus,DSM 2162,"DOE Joint Genome Institute, DSMZ",,,,,,,,,,,,,,,,,,,,,,,1314639,1421,1,28,1.97,415,29.2,221,15.55,36,2.53
646564534,Archaea,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Ferroglobus placidus AEDII12DO, DSM 10642",646564534,589924,40863,33635,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,placidus,DSM 10642,DOE Joint Genome Institute,,Gc01209,Free living,,,,Coccus-shaped,None,"Chemoorganotroph, Chemolithotroph",,,,,Free living,,Motile,Iron oxidizer,Anaerobe,,,Nonsporulating,Hyperthermophile,2196266,2622,1,350,13.35,698,26.62,451,17.2,184,7.02
649989953,Archaea,Draft,zzz,Haladaptatus paucihalophilus DX253,649989953,797209,62523,50445,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,paucihalophilus,DX253,Oklahoma State University,,,,,,,,,,,,,,,,,,,,,,,4284805,4496,3,266,5.92,989,22,633,14.08,216,4.8
638154503,Archaea,Finished,zzz,Haloarcula marismortui ATCC 43049,638154503,272569,57719,105,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,marismortui,ATCC 43049,Institute for Systems Biology,,Gc00231,Free living,,,Singles,Pleomorphic-shaped,None,Chemoorganotroph,,,,,Free living,,Motile,,Aerobe,Proteolytic,Halophile,Nonsporulating,Mesophile,4274642,4387,3,1003,22.86,1013,23.09,661,15.07,308,7.02
641522631,Archaea,Finished,zzz,"Halobacterium salinarum R1, DSM 671",641522631,478009,61571,106,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,salinarum,R1,"Max Planck Institute, Max-Planck Institute",,Gc00726,Free living,,,,Rod-shaped,None,Chemoorganotroph,,,,,Free living,,Motile,,Obligate aerobe,,Halophile,Nonsporulating,Thermophile,2668776,2801,1,628,22.42,716,25.56,447,15.96,226,8.07
638154504,Archaea,Finished,zzz,Halobacterium sp. NRC-1,638154504,64091,57769,217,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,sp.,NRC-1,"Univ of Massachusetts, Univ of Washington- Seattle",,Gc00039,Free living,,,,Rod-shaped,None,Chemoorganotroph,,,,,Free living,,Motile,,Aerobe,,Halophile,Nonsporulating,Mesophile,2571010,2728,1,616,22.58,704,25.81,448,16.42,238,8.72
646564536,Archaea,Finished,zzz,"Haloferax volcanii DS2, ATCC 29605",646564536,309800,46845,12524,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax,volcanii,DS2,J. Craig Venter Institute,,Gc01201,Free living,,,,Disc-shaped,None,Chemoorganotroph,,,,,Free living,,Motile,,Aerobe,,Halophile,Nonsporulating,Mesophile,4012900,4064,2,891,21.92,1006,24.75,613,15.08,275,6.77
637000129,Archaea,Finished,zzz,"Haloquadratum walsbyi HBSQ001, DSM 16790",637000129,362976,58673,17185,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloquadratum,walsbyi,DSM 16790,"Max Planck Institute, Max-Planck Institute",,Gc00409,Free living,,,Singles,Square-shaped,None,Phototroph,,,,,Free living,,Nonmotile,,,Non-Pathogen,Halophile,,Mesophile,3179361,2914,2,424,14.55,801,27.49,482,16.54,231,7.93
640753029,Archaea,Finished,Ignicoccus hospitalis KIN4/I,"Ignicoccus hospitalis KIN4/I, DSM 18386",640753029,453591,58365,13914,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,hospitalis,KIN4/I,DOE Joint Genome Institute,,Gc00636,Symbiotic,,,"Pairs, Singles",Coccus-shaped,None,Chemolithoautotroph,,,,,Symbiotic,,Motile,,Anaerobe,,,Nonsporulating,Hyperthermophile,1297538,1496,1,54,3.61,460,30.75,278,18.58,143,9.56
648028035,Archaea,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Ignisphaera aggregans AQ1.S1, DSM 17230",648028035,583356,51875,33361,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignisphaera,aggregans,DSM 17230,"DOE Joint Genome Institute, DSMZ",,Gc01330,Free living,,,Clusters,Coccus-shaped,None,Heterotroph,,,,,Free living,,Nonmotile,,Obligate anaerobe,Acidophile,,Nonsporulating,Hyperthermophile,1875953,2042,1,190,9.3,398,19.49,220,10.77,88,4.31
646311943,Archaea,Finished,zzz,Methanobrevibacter ruminantium M1,646311943,634498,45857,34681,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,ruminantium,M1,AgResearch,,Gc01203,Free living,Gastrointestinal tract,Rumen,"Chains, Pairs",Rod-shaped,None,Lithotroph,,,,,Free living,,Nonmotile,Methanogen,Anaerobe,,,,Mesophile,2937203,2283,2,343,15.02,574,25.14,377,16.51,174,7.62
643886144,Archaea,Draft,Human Microbiome Project (HMP) Reference Genomes,Methanobrevibacter smithii DSM 2375,643886144,483214,54983,27821,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,smithii,DSM 2375,Washington Univ,,Gi02576,Free living,Gastrointestinal tract,Intestinal tract,"Chains, Pairs",Rod-shaped,None,Lithotroph,,,,,Free living,,Nonmotile,Methanogen,Anaerobe,Non-Pathogen,,,Mesophile,1704865,1748,1,142,8.12,544,31.12,354,20.25,192,10.98
643886215,Archaea,Draft,Human Microbiome Project (HMP) Reference Genomes,"Methanobrevibacter smithii F1, DSM 2374",643886215,521002,55123,29303,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,smithii,DSM 2374,Washington Univ,,Gi02814,Free living,Gastrointestinal tract,,"Chains, Pairs",Rod-shaped,None,Lithotroph,,,,,Free living,,Nonmotile,Methanogen,Anaerobe,,,,Mesophile,1707624,1749,,143,8.18,543,31.05,353,20.18,192,10.98
640427121,Archaea,Finished,zzz,"Methanobrevibacter smithii PS, ATCC 35061",640427121,420247,58827,18653,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,smithii,ATCC 35061,Washington Univ,,Gc00574,Free living,,,"Chains, Pairs",Rod-shaped,None,Lithotroph,,,,,Free living,,Nonmotile,Methanogen,Anaerobe,Symbiotic,,,Mesophile,1853160,1841,2,189,10.27,607,32.97,372,20.21,194,10.54
644736385,Archaea,Finished,"CSP_787660, Methanoarchaea",Methanocaldococcus fervens AG86,644736385,573064,59347,32615,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,fervens,AG86,DOE Joint Genome Institute,,Gc01098,Free living,,,,Coccus-shaped,None,"Lithotroph, Autotroph",,,,,Free living,,Motile,Methanogen,Anaerobe,Piezophile,,Nonsporulating,Thermophile,1507251,1663,2,110,6.61,576,34.64,353,21.23,91,5.47
646564547,Archaea,Finished,"CSP_787660, Methanoarchaea",Methanocaldococcus infernus ME,646564547,573063,48803,32611,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,infernus,ME,DOE Joint Genome Institute,,Gc01344,Free living,,,,Coccus-shaped,None,"Autotroph, Lithotroph",,,,,Free living,,Motile,Methanogen,Anaerobe,,,Nonsporulating,Thermophile,1328194,1513,2,122,8.06,535,35.36,333,22.01,136,8.99
638154505,Archaea,Finished,zzz,Methanocaldococcus jannaschii DSM 2661,638154505,243232,57713,102,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,jannaschii,DSM 2661,"J. Craig Venter Institute, Univ of Illinois at Urbana-Champaign",,Gc00004,Free living,,,,Coccus-shaped,None,Lithotroph,,,,,Free living,,Motile,Methanogen,Obligate anaerobe,Piezophile,,Nonsporulating,Hyperthermophile,1739916,1844,2,188,10.2,535,29.01,350,18.98,207,11.23
646564548,Archaea,Finished,"CSP_787660, Methanoarchaea",Methanocaldococcus sp. FS406-22,646564548,644281,42499,37943,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,sp.,FS406-22,DOE Joint Genome Institute,,Gc01212,Free living,,,,Coccus-shaped,None,Lithotroph,,,,,Free living,,Motile,"Nitrogen fixation, Methanogen",,Piezophile,,Nonsporulating,Thermophile,1773136,1893,2,216,11.41,555,29.32,359,18.96,129,6.81
646311944,Archaea,Finished,"CSP_787660, Methanoarchaea",Methanocaldococcus vulcanius M7,646311944,579137,41131,33047,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,vulcanius,M7,DOE Joint Genome Institute,,Gc01124,Free living,,,,Coccus-shaped,None,Autotroph,,,,,Free living,,Motile,,Anaerobe,Piezophile,,Nonsporulating,Thermophile,1761737,1808,2,161,8.9,545,30.14,352,19.47,87,4.81
