"Pathway Genes Missing","taxon_oid","Domain","Status","Proposal Name","Genome Name","Taxon Object ID","NCBI Taxon ID","RefSeq Project ID","GenBank Project ID","Phylum","Class","Order","Family","Genus","Species","Strain","Sequencing Center","Funding Agency","Add Date","Is Public","IMG Release","IMG Product Assignment","IMG Submission ID","GOLD ID","Biotic Relationships","Body Site","Body Subsite","Cell Arrangement","Cell Shape","Diseases","Energy Source","Energy Category","Ecosystem","Ecosystem Category","Ecosystem Type","Ecosystem Subtype","Isolation","Specific Ecosystem","Gram Staining","Host Name","Host Gender","Motility","Metabolism","Oxygen Requirement","Broad Oxygen Requirement","Phenotype","Relevance","Salinity","Sporulation","Temperature Range","IMG Sample Id","IMG Project Id","Scaffold Count","CRISPR Count","GC Count","GC %","Coding Base Count","Genome Size","Gene Count","CDS Count","CDS %","RNA Count","rRNA Count","5S rRNA Count","16S rRNA Count","18S rRNA Count","23S rRNA Count","28S rRNA Count","tRNA Count","Other RNA Count","Fused Count","Fused %","Fusion Component Count","Fusion component %","Pseudo Count","Pseudo %","Unchar Count","Unchar %","Obsolete Count","Obsolete %","Revised Count","Revised %","w/ Func Pred Count","w/ Func Pred %","w/o Func Pred Sim Count","w/o Func Pred Sim %","w/o Func Pred No Sim Count","w/o Func Pred No Sim %","Signal Peptide Count","Signal Peptide %","Transmembrane Count","Transmembrane %","Orthologs Count","Orthologs %`","Paralogs Count","Paralogs %","Ortholog Group Count","Paralog Group Count","SwissProt Count","SwissProt %","Not SwissProt Count","Not SwissProt %","SEED Count","SEED %","Not SEED Count","Not SEED %","COG Count","COG %","KOG Count","KOG %","Pfam Count","Pfam %","TIGRfam Count","TIGRfam %","COG Cluster Count","KOG Cluster Count","Pfam Cluster Count","TIGRfam Cluster Count","InterPro Count","InterPro %","Enzyme Count","Enzyme %","TC Count","TC %","KEGG Count","KEGG %","Not KEGG Count","Not KEGG %","KO Count","KO %","Not KO Count","Not KO %","MetaCyc Count","MetaCyc %","Not MetaCyc Count","Not MetaCyc %","IMG Term Count","IMG Term %","IMG Pathwawy Count","IMG Pathway %","IMG Parts List Count","IMG Parts List %","Chromosomal Cassette Gene Count","Chromosomal Cassette Gene %","Chromosomal Cassette Count","KEGG Organism ID","Has ATP 6PFK","Has Ppi 6PFK","Has ADP 6PFK","Has ATP 1PFK","Has Any 6PFK","Has EDD","Has EDA","Has ED Genes","4.1.1.39","4.1.3.24","6.2.1.9"
1,637000197,"Bacteria","Finished","Nitrosospira multiformis ATCC 25196","Nitrosospira multiformis ATCC 25196",637000197,323848,58361,13912,"Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira","multiformis","ATCC 25196","DOE Joint Genome Institute, Oregon State Univ","DOE","2006-10-02","Yes","IMG/W 2.0","zzz","zzz","Gc00325","Free living","zzz","zzz","zzz","Pleomorphic-shaped","None","Autotroph, Lithotroph","Inorganic","zzz","zzz","zzz","zzz","Free living","zzz","Gram-","zzz","zzz","Motile","Ammonia-oxidizer, Nitrifying","Aerobe","Aerobe","zzz","Biotechnological","zzz","zzz","Mesophile","zzz",10361,4,"zzz",1742553,0.54,2766383,3234309,2885,2827,97.99,58,3,1,1,"zzz",1,"zzz",43,12,225,7.8,1279,44.33,22,0.76,"zzz","zzz","zzz","zzz","zzz","zzz",2026,70.23,784,27.18,17,0.59,601,20.83,718,24.89,2749,95.29,422,14.63,2395,153,369,12.79,2458,85.2,1940,67.24,887,30.75,2102,72.86,981,34,2236,77.5,1083,37.54,1447,624,1543,947,2440,84.58,792,27.45,364,12.62,880,30.5,1947,67.49,1537,53.28,1290,44.71,592,20.52,2235,77.47,784,27.18,275,9.53,291,10.09,2758,95.6,374,"nmu","True","False","False","False","True","False","False","False","True","False","True"
1,641380423,"Bacteria","Draft","Roseobacter litoralis Och 149","Roseobacter litoralis Och 149",641380423,391595,54719,19357,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseobacter","litoralis","Och 149","ICBM, J. Craig Venter Institute","zzz","2008-02-07","Yes","IMG/W 2.5","zzz","zzz","Gc01918","Free living","zzz","zzz","zzz","Rod-shaped","None","Phototroph, Photosynthetic","Inorganic","zzz","zzz","zzz","zzz","Free living","zzz","Gram-","zzz","zzz","Motile","zzz","Aerobe","Aerobe","zzz","Environmental, Biotechnological, Marine Microbial Initiative (MMI), Marine Microbial Initiative (MMI)","zzz","zzz","Mesophile","zzz",11196,27,"zzz",2678890,0.57,4209419,4678915,4789,4746,99.1,43,3,1,1,"zzz",1,"zzz",40,"zzz",370,7.73,"zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz",3152,65.82,1428,29.82,166,3.47,935,19.52,1051,21.95,4547,94.95,666,13.91,3879,245,"zzz","zzz",4746,99.1,41,0.86,4705,98.25,3426,71.54,1510,31.53,3645,76.11,1225,25.58,1741,740,1815,1016,3937,82.21,1190,24.85,788,16.45,1430,29.86,3316,69.24,2346,48.99,2400,50.11,902,18.83,3844,80.27,876,18.29,241,5.03,280,5.85,4730,98.77,324,"rli","False","False","False","False","False","True","True","True","False","True","False"
0,644736386,"Bacteria","Finished","Methylobacterium extorquens AM1","Methylobacterium extorquens AM1",644736386,272630,57605,20,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","extorquens","AM1","Univ of Washington","zzz","2009-10-13","Yes","IMG/W 3.0","zzz","zzz","Gc01036","Free living","zzz","zzz","Pairs, Singles","Rod-shaped","None","Methylotroph","C1","zzz","zzz","zzz","zzz","Free living","zzz","Gram-","zzz","zzz","Motile","zzz","Aerobe","Aerobe","zzz","Biotechnological, Methanol production","zzz","Nonsporulating","Mesophile","zzz",11488,5,"zzz",4711578,0.68,5582778,6879778,6294,6216,98.76,78,15,5,5,"zzz",5,"zzz",63,"zzz",456,7.24,2722,43.25,"zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz",3087,49.05,2986,47.44,143,2.27,1534,24.37,1353,21.5,5626,89.39,1183,18.8,4677,467,"zzz","zzz",6216,98.76,478,7.59,5738,91.17,3775,59.98,1676,26.63,4023,63.92,1550,24.63,1851,788,1981,1173,4398,69.88,1139,18.1,634,10.07,1317,20.92,4899,77.84,2228,35.4,3988,63.36,814,12.93,5402,85.83,357,5.67,86,1.37,118,1.87,6108,97.04,790,"mea","False","False","False","False","False","True","True","True","False","True","True"
1,637000159,"Bacteria","Finished","Mesorhizobium loti MAFF303099","Mesorhizobium loti MAFF303099",637000159,266835,57601,18,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","loti","MAFF303099","Kazusa DNA Research Institute","KDRI","2006-10-02","Yes","IMG/W 2.0","zzz","zzz","Gc00040","Symbiotic","Plant-root","zzz","zzz","Rod-shaped","None",,,"zzz","zzz","zzz","zzz","Symbiotic","zzz","Gram-","Lotus corniculatus","zzz","Motile","Nitrogen fixation","Aerobe","Aerobe","zzz","Bioremediation, Environmental, Root Nodulating Bacteria (RNB)","zzz","zzz","Mesophile","zzz",10646,3,"zzz",4748293,0.63,6527218,7596297,7356,7272,98.86,84,6,2,2,"zzz",2,"zzz",53,25,667,9.07,3834,52.12,"zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz",3906,53.1,3233,43.95,133,1.81,1352,18.38,1616,21.97,6973,94.79,1754,23.84,5426,616,602,8.18,6670,90.67,7261,98.71,11,0.15,5543,75.35,2298,31.24,5649,76.79,1609,21.87,2187,839,2118,1195,6035,82.04,1534,20.85,1101,14.97,1920,26.1,5352,72.76,3381,45.96,3891,52.9,1156,15.72,6116,83.14,1756,23.87,488,6.63,668,9.08,7148,97.17,742,"mlo","True","False","False","False","True","True","True","True","False","False","True"
1,648028006,"Bacteria","Finished","Amycolatopsis mediterranei U32","Amycolatopsis mediterranei U32",648028006,749927,50565,46889,"Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Amycolatopsis","mediterranei","U32","Chinese National Human Genome Center at Shanghai","zzz","2010-10-29","Yes","IMG/W 3.3","zzz","zzz","Gc01317","zzz","zzz","zzz","zzz","zzz","zzz",,,"zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz",,,"zzz","Biotechnological, Antibiotic production, Pharmaceutical","zzz","zzz","zzz","zzz",16974,1,2,7298040,0.71,9142111,10236715,9292,9228,99.31,64,12,4,4,"zzz",4,"zzz",52,"zzz",365,3.93,4387,47.21,"zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz",6431,69.21,2515,27.07,282,3.03,3019,32.49,2118,22.79,8762,94.3,2652,28.54,5977,941,2,0.02,9226,99.29,21,0.23,9207,99.09,6213,66.86,3007,32.36,7051,75.88,1782,19.18,1799,875,2011,1111,7717,83.05,1537,16.54,881,9.48,1676,18.04,7552,81.27,2773,29.84,6455,69.47,1135,12.21,8093,87.1,218,2.35,64,0.69,76,0.82,9158,98.56,743,"amd","True","False","False","True","True","True","True","True","False","True","False"
0,639633056,"Bacteria","Finished","Roseobacter denitrificans OCh 114","Roseobacter denitrificans OCh 114",639633056,375451,58597,16426,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseobacter","denitrificans","OCh 114","Arizona State Univ, TGen","NSF","2007-01-28","Yes","IMG/W 2.1","zzz","zzz","Gc00448","zzz","zzz","zzz","zzz","Rod-shaped","None","Phototroph, Photosynthetic","Inorganic","zzz","zzz","zzz","zzz","zzz","zzz","Gram-","Plants","zzz","Motile","zzz","Aerobe","Aerobe","Non-Pathogen","Environmental, Biotechnological","zzz","zzz","Mesophile","zzz",10237,5,"zzz",2550232,0.59,3871475,4331234,4201,4146,98.69,55,3,1,1,"zzz",1,"zzz",38,14,346,8.24,2086,49.65,17,0.4,"zzz","zzz","zzz","zzz","zzz","zzz",2803,66.72,1212,28.85,131,3.12,917,21.83,951,22.64,4012,95.5,457,10.88,3588,178,338,8.05,3808,90.65,2766,65.84,1380,32.85,3076,73.22,1431,34.06,3284,78.17,1208,28.76,1738,740,1810,1046,3536,84.17,1191,28.35,699,16.64,1407,33.49,2739,65.2,2284,54.37,1862,44.32,901,21.45,3245,77.24,951,22.64,321,7.64,296,7.05,4134,98.41,262,"rde","False","False","False","False","False","True","True","True","False","True","True"
1,640069319,"Bacteria","Finished","Methylibium petroleiphilum PM1","Methylibium petroleiphilum PM1",640069319,420662,58085,10789,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium","petroleiphilum","PM1","DOE Joint Genome Institute, Lawrence Livermore National Lab","DOE","2007-04-13","Yes","IMG/W 2.2","zzz","zzz","Gc00501","Free living","zzz","zzz","Singles","Rod-shaped","None","Phototroph, Methylotroph","Both","zzz","zzz","zzz","zzz","Free living","zzz","Gram-","zzz","zzz","Motile","Benzene degradation, MTBE degrader","Facultative","Facultative","zzz","Environmental, Bioremediation","zzz","zzz","Mesophile","zzz",10184,2,"zzz",3193983,0.69,4257372,4643639,4601,4475,97.26,126,3,1,1,"zzz",1,"zzz",111,12,375,8.15,2168,47.12,26,0.57,"zzz","zzz","zzz","zzz","zzz","zzz",2761,60.01,1646,35.77,68,1.48,1101,23.93,984,21.39,4228,91.89,795,17.28,3612,330,302,6.56,4173,90.7,3103,67.44,1372,29.82,3227,70.14,1357,29.49,3429,74.53,1396,30.34,1838,734,1904,1147,3719,80.83,1126,24.47,580,12.61,1275,27.71,3200,69.55,2221,48.27,2254,48.99,807,17.54,3668,79.72,1059,23.02,385,8.37,380,8.26,4554,98.98,227,"mpt","True","False","False","False","True","False","False","False","True","False","True"
0,644736387,"Bacteria","Finished","Methylobacterium extorquens DM4","Methylobacterium extorquens DM4",644736387,661410,61617,16093,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","extorquens","DM4","Genoscope","zzz","2009-10-13","Yes","IMG/W 3.0","zzz","zzz","Gc01065","Free living","zzz","zzz","Singles, Pairs","Rod-shaped","None","Methylotroph","C1","zzz","zzz","zzz","zzz","Free living","zzz","Gram-","zzz","zzz","Motile","zzz","Aerobe","Aerobe","zzz","Methanol production, Biotechnological","zzz","Nonsporulating","Mesophile","zzz",11489,3,"zzz",4164002,0.68,5117137,6123851,5829,5741,98.49,88,15,5,5,"zzz",5,"zzz",58,15,480,8.23,2653,45.51,"zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz",3191,54.74,2458,42.17,92,1.58,1390,23.85,1308,22.44,5391,92.49,1281,21.98,4395,474,9,0.15,5732,98.34,510,8.75,5231,89.74,3791,65.04,1671,28.67,4012,68.83,1506,25.84,1846,782,1958,1145,4329,74.27,1094,18.77,644,11.05,1307,22.42,4434,76.07,2171,37.24,3570,61.25,805,13.81,4936,84.68,369,6.33,80,1.37,114,1.96,5650,96.93,759,"mdi","False","False","False","False","False","True","True","True","False","True","True"
1,641228491,"Bacteria","Finished","Dinoroseobacter shibae DFL-12, DSM 16493","Dinoroseobacter shibae DFL-12, DSM 16493",641228491,398580,58707,17417,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Dinoroseobacter","shibae","DFL 12","DOE Joint Genome Institute","zzz","2008-02-07","Yes","IMG/W 2.5","zzz","zzz","Gc00659","Free living","zzz","zzz","zzz","Rod-shaped","None","Phototroph","Inorganic","zzz","zzz","zzz","zzz","Free living","zzz","Gram-","zzz","zzz","Motile","zzz","Aerobe","Aerobe","Anoxygenic","Comparative analysis","zzz","zzz","Mesophile","zzz",10026,6,2,2894792,0.66,3970632,4417868,4271,4219,98.78,52,6,2,2,"zzz",2,"zzz",44,2,347,8.12,2139,50.08,33,0.77,"zzz","zzz","zzz","zzz","zzz","zzz",2538,59.42,1665,38.98,16,0.37,1052,24.63,1029,24.09,4134,96.79,768,17.98,3510,308,275,6.44,3944,92.34,4187,98.03,32,0.75,3173,74.29,1388,32.5,3403,79.68,1234,28.89,1768,729,1840,1047,3724,87.19,1119,26.2,706,16.53,1320,30.91,2899,67.88,2225,52.1,1994,46.69,860,20.14,3359,78.65,934,21.87,290,6.79,314,7.35,4191,98.13,311,"dsh","True","False","False","False","True","True","True","True","False","False","True"
1,637000123,"Bacteria","Finished","Granulibacter bethesdensis CGDNIH1","Granulibacter bethesdensis CGDNIH1",637000123,391165,58661,17111,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Granulibacter","bethesdensis","CGDNIH1","Integrated Genomics Inc, RML-NIAID","NIH","2006-10-02","Yes","IMG/W 2.0","zzz","zzz","Gc00423","Free living","Lymph nodes","zzz","zzz","Rod-shaped","Chronic granulomatous",,,"zzz","zzz","zzz","zzz","Free living","zzz","Gram-","Homo sapiens","Male","zzz","zzz",,,"Pathogen","Medical, Comparative analysis, Human Pathogen","zzz","zzz","Mesophile","zzz",10263,1,5,1599883,0.59,2491091,2708355,2510,2437,97.09,73,9,3,3,"zzz",3,"zzz",52,12,209,8.33,1152,45.9,"zzz","zzz","zzz","zzz","zzz","zzz",12,"zzz",1832,72.99,545,21.71,60,2.39,476,18.96,521,20.76,2318,92.35,118,4.7,2193,52,252,10.04,2185,87.05,1884,75.06,553,22.03,1907,75.98,934,37.21,1979,78.84,969,38.61,1414,631,1514,935,2127,84.74,818,32.59,308,12.27,932,37.13,1505,59.96,1493,59.48,944,37.61,618,24.62,1819,72.47,715,28.49,267,10.64,255,10.16,2484,98.96,111,"gbe","False","False","False","True","False","True","True","True","False","False","True"
