RefSeq project ID,Project ID,NCBI Taxon ID,Organism Name,Super Kingdom,Group,Sequence Status,Genome Size,GC Content,Gram Stain,Shape,Arrangment,Endospores,Motility,Salinity,Oxygen Req,Habitat,Temp. range,Optimal temp.,Pathogenic in,Disease,Genbank accessions,Refseq accessions,KEGG ID,Has 1PFK,Has PPi PFK,Has ADP PFK,Has Any 1PFK,Has Rubisco,Has ZWF,Has 6PGL,Has Gluconate Dehydratase,Has EDD,Has Any Gluconate Dehydratase,Has EDA,Has Gluconokinase,Has Phosphoketolase
59127,28085,240015,Acidobacterium capsulatum ATCC 51196,Bacteria,Acidobacteria,complete,4.12736,60.5,0,Rod,Singles,No,No,,Aerobic,Multiple,Mesophilic,30,No,,CP001472,0,aca,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
50551,47621,696844,Acidobacterium sp. MP5ACTX9,Bacteria,Acidobacteria,complete,5.51,,0,Rod,,,,,Aerobic,,,0,,,"CP002480,CP002481,CP002482,CP002483,CP002484,CP002485",0,acm,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
53251,48971,401053,Terriglobus saanensis SP1PR4,Bacteria,Acidobacteria,complete,5.1,,,,,,,,,Terrestrial,,0,,,CP002467,0,tsa,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
58479,15771,204669,Candidatus Koribacter versatilis Ellin345,Bacteria,Acidobacteria,complete,5.65037,58.4,0,,,,,,Aerobic,Terrestrial,Mesophilic,0,No,,CP000360,0,aba,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58139,12638,234267,Candidatus Solibacter usitatus Ellin6076,Bacteria,Acidobacteria,complete,9.96564,61.9,0,Rod,Clusters,,No,Non-halophilic,Aerobic,Terrestrial,Mesophilic,30,No,None,CP000473,0,sus,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
59215,29525,525909,Acidimicrobium ferrooxidans DSM 10331,Bacteria,Actinobacteria,complete,2.15816,68.3,0,Rod,,No,,,Anaerobic,Specialized,Thermophilic,0,No,,CP001631,0,afo,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49489,37925,644284,Arcanobacterium haemolyticum DSM 20595,Bacteria,Actinobacteria,complete,2,,0,Rod,,No,No,,Facultative,Host-associated,Mesophilic,0,Human,,CP002045,0,ahe,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
49695,31519,548479,Mobiluncus curtisii ATCC 43063,Bacteria,Actinobacteria,complete,2.1,55.6,0,Rod,,,,,Anaerobic,,Mesophilic,0,,,CP001992,0,mcu,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
59077,21085,479433,Catenulispora acidiphila DSM 44928,Bacteria,Actinobacteria,complete,10.4678,69.8,0,Filament,,Yes,,,Aerobic,Terrestrial,Mesophilic,0,No,,CP001700,0,cai,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
59409,37279,548476,Corynebacterium aurimucosum ATCC 700975,Bacteria,Actinobacteria,complete,2.829,60.6,0,Rod,,No,No,,Facultative,Host-associated,Mesophilic,0,Human,Opportunistic infections,"CP001601,FM164414",0,car,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
57691,87,257309,Corynebacterium diphtheriae NCTC 13129,Bacteria,Actinobacteria,complete,2.48863,53.5,0,Rod,"Singles, Pairs",No,No,,Aerobic,Multiple,Mesophilic,37,Human,Diphtheria,BX248353,0,cdi,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
62905,305,196164,Corynebacterium efficiens YS-314,Bacteria,Actinobacteria,complete,3.22009,63,0,Rod,"Singles, V-shaped pairs",No,No,,Facultative,Multiple,Mesophilic,30-45,No,None,"AP005226,BA000035,AP005225",0,cef,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
57905,307,196627,Corynebacterium glutamicum ATCC 13032,Bacteria,Actinobacteria,complete,3.3,53.8,0,Rod,"Singles, V-shaped pairs",No,No,,Facultative,Multiple,Mesophilic,30-40,No,None,BA000036,0,cgb,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
57905,307,196627,Corynebacterium glutamicum ATCC 13032,Bacteria,Actinobacteria,complete,3.3,53.8,0,Rod,"Singles, V-shaped pairs",No,No,,Facultative,Multiple,Mesophilic,30-40,No,None,BA000036,0,cgl,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58897,19193,340322,Corynebacterium glutamicum R,Bacteria,Actinobacteria,complete,3.349,54.1,0,Rod,"Singles, V-shaped pairs",No,No,,Facultative,Multiple,Mesophilic,30-40,,,"AP009044,AP009045",0,cgt,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
58399,13967,306537,Corynebacterium jeikeium K411,Bacteria,Actinobacteria,complete,2.47682,61.4,0,Rod,Singles,No,No,Non-halophilic,Facultative,Multiple,Mesophilic,0,Human,Nocosomial infections,"CR931997,AF401314",0,cjk,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
59411,38011,645127,Corynebacterium kroppenstedtii DSM 44385,Bacteria,Actinobacteria,complete,2.4468,57.5,0,Rod,,No,0,,Facultative,Host-associated,Mesophilic,0,No,,CP001620,0,ckp,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
50585,48979,765874,Corynebacterium pseudotuberculosis FRC41,Bacteria,Actinobacteria,complete,2.3,,,,,,,,,,,0,,,CP002097,0,cpu,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
50555,39683,662755,Corynebacterium resistens DSM 45100,Bacteria,Actinobacteria,complete,2.6,57.1,0,Rod,"Singles, Pairs, Clusters",No,No,,,,,0,,,CP002857,0,crd,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
68291,61803,945712,Corynebacterium ulcerans BR-AD22,Bacteria,Actinobacteria,complete,2.6,,,,,,,,,,,0,,,CP002791,0,cul,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
