,16S rRNA Count,Biotic Relationships,Body Site,Body Subsite,Cell Arrangement,Cell Shape,Class,Diseases,Domain,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Energy Source,Family,GOLD ID,GenBank Project ID,Gene Count,Genome Name,Genome Size,Genus,IMG Pathwawy Count,IMG Pathway %,IMG Submission ID,Isolation,KEGG %,KEGG Count,KEGG Organism ID,MetaCyc %,MetaCyc Count,Metabolism,Motility,NCBI Taxon ID,Name,Order,Oxygen Requirement,Paralogs %,Paralogs Count,Phenotype,Phylum,Proposal Name,RefSeq Project ID,Salinity,Sequencing Center,Species,Specific Ecosystem,Sporulation,Status,Strain,Taxon Object ID,Taxonomy ID,Temperature Range
,3,Free living,,,Filaments,Coccus-shaped,Actinobacteria,None,bacteria,,,,,Chemoorganotroph,Geodermatophilaceae,Gc01190,29547,5155,Geodermatophilus obscurus DSM 43160,5322497,Geodermatophilus,332,6.44,,Free living,24.03,1239,gob,16.51,851,,Motile,526225,Geodermatophilus obscurus DSM 43160,Actinomycetales,Aerobe,17.19,886,,Actinobacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),43725,,"DOE Joint Genome Institute, DSMZ",obscurus,,,Finished,DSM 43160,646311931,646311931,Mesophile
,1,Free living,Gastrointestinal tract,Intestinal tract,,Spiral-shaped,Spirochaetes,None,bacteria,,,,,Chemoorganotroph,Brachyspiraceae,Gc01276,29543,2893,"Brachyspira murdochii 56-150, DSM 12563",3241804,Brachyspira,181,6.26,,Free living,27.13,785,brm,15.49,448,,Motile,526224,Brachyspira murdochii DSM 12563,Spirochaetales,Anaerobe,20.71,599,,Spirochaetes,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),48819,,"DOE Joint Genome Institute, DSMZ",murdochii,,Nonsporulating,Finished,DSM 12563,646564514,646564514,Mesophile
,2,Free living,Airways,,Filaments,Rod-shaped,Actinobacteria,"Endocarditis, Bacteremia",bacteria,,,,,Chemoorganotroph,Gordoniaceae,Gc01134,29549,5002,Gordonia bronchialis DSM 43247,5290012,Gordonia,307,6.14,,Free living,24.51,1226,gbr,17.19,860,,Nonmotile,526226,Gordonia bronchialis DSM 43247,Actinomycetales,Obligate aerobe,16.45,823,Opportunistic Pathogen,Actinobacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),41403,,"DOE Joint Genome Institute, DSMZ",bronchialis,,Nonsporulating,Finished,DSM 43247,646311932,646311932,Mesophile
,7,Free living,Plant-root,,"Singles, Pairs",Rod-shaped,Alphaproteobacteria,None,bacteria,,,,,Methylotroph,Methylobacteriaceae,Gc00935,20477,8885,Methylobacterium nodulans ORS 2060,8839022,Methylobacterium,258,2.9,,Free living,20.82,1850,mno,12.85,1142,Nitrogen fixation,Motile,460265,Methylobacterium nodulans ORS 2060,Rhizobiales,Aerobe,36.26,3222,,Proteobacteria,LGT in Methylobacteria Proposal # 0165-051130,59023,,DOE Joint Genome Institute,nodulans,,Nonsporulating,Finished,ORS 2060,643348564,643348564,Mesophile
,4,Free living,,,,Rod-shaped,Alphaproteobacteria,None,bacteria,,,,,Phototroph,Rhodobacteraceae,Gc01261,55,3708,Rhodobacter capsulatus SB1003,3871920,Rhodobacter,270,7.28,,Free living,32.87,1219,rcp,19.36,718,,Motile,272942,Rhodobacter capsulatus SB 1003,Rhodobacterales,Facultative,10.3,382,,Proteobacteria,zzz,47509,,"Institute of Molecular Genetics, Prague, Integrated Genomics Inc, Univ of Chicago",capsulatus,,Nonsporulating,Finished,SB1003,646564563,646564563,Mesophile
,3,Free living,,,Chains,Rod-shaped,Alphaproteobacteria,None,bacteria,,,,,Photosynthetic,Rhodobacteraceae,Gc00417,56,4383,Rhodobacter sphaeroides 2.4.1,4603060,Rhodobacter,369,8.42,,Free living,33.06,1449,rsp,19.67,862,,Motile,272943,Rhodobacter sphaeroides 2.4.1,Rhodobacterales,Facultative,15.08,661,Non-Pathogen,Proteobacteria,Rhodobacter sphaeroides 2.4.1,57653,,"DOE Joint Genome Institute, Univ of Texas - Houston",sphaeroides,,,Finished,2.4.1,640069327,640069327,Mesophile
,4,Free living,,,,,Clostridia,None,bacteria,,,,,Chemolithotroph,Thermoanaerobacteraceae,Gc00307,253,2738,Carboxydothermus hydrogenoformans Z-2901,2401519,Carboxydothermus,276,10.08,,Free living,30.79,843,chy,19.47,533,,,246194,Carboxydothermus hydrogenoformans Z-2901,Thermoanaerobacterales,Anaerobe,13.29,364,,Firmicutes,zzz,57821,,"COMB, J. Craig Venter Institute",hydrogenoformans,,,Finished,Z-2901,637000060,637000060,Hyperthermophile
,2,Free living,,,Singles,Rod-shaped,Actinobacteria,Soft tissue lesions,bacteria,,,,,Chemoorganotroph,Mycobacteriaceae,Gc00461,92,6941,Mycobacterium smegmatis MC2 155,6988209,Mycobacterium,332,4.78,,Free living,25.1,1742,msm,17.69,1228,,Nonmotile,246196,Mycobacterium smegmatis str. MC2 155,Actinomycetales,Aerobe,25,1735,Pathogen,Actinobacteria,zzz,57701,,J. Craig Venter Institute,smegmatis,,Nonsporulating,Finished,str. MC2 155,639633041,639633041,Mesophile
,4,Free living,,,Singles,Rod-shaped,Deltaproteobacteria,None,bacteria,,,,,Chemoorganotroph,Myxococcaceae,Gc00391,1421,7454,Myxococcus xanthus DK 1622,9139763,Myxococcus,342,4.59,,Free living,17.16,1279,mxa,11.01,821,,Motile,246197,Myxococcus xanthus DK 1622,Myxococcales,Obligate aerobe,14.66,1093,Non-Pathogen,Proteobacteria,zzz,58003,,"J. Craig Venter Institute, Monsanto",xanthus,,Sporulating,Finished,DK 1622,637000186,637000186,Mesophile
,7,Free living,,,Singles,Curved-shaped,Gammaproteobacteria,"Food poisoning, Cholera",bacteria,,,,,Heterotroph,Vibrionaceae,Gc00994,33555,3894,Vibrio cholerae MJ-1236,4236368,Vibrio,92,2.36,,Free living,31.95,1244,vcj,17.82,694,,Motile,593588,Vibrio cholerae MJ-1236,Vibrionales,Facultative,13.74,535,Pathogen,Proteobacteria,zzz,59387,,"Los Alamos National Lab, Los Alamos National Laboratory",cholerae,,Nonsporulating,Finished,MJ-1236,643692054,643692054,Mesophile
