"taxon_oid","Domain","Status","Proposal Name","Genome Name","Taxon Object ID","NCBI Taxon ID","RefSeq Project ID","GenBank Project ID","Phylum","Class","Order","Family","Genus","Species","Strain","Sequencing Center","Funding Agency","Add Date","Is Public","IMG Release","IMG Product Assignment","IMG Submission ID","GOLD ID","Biotic Relationships","Body Site","Body Subsite","Cell Arrangement","Cell Shape","Diseases","Energy Source","Energy Category","Ecosystem","Ecosystem Category","Ecosystem Type","Ecosystem Subtype","Isolation","Specific Ecosystem","Gram Staining","Host Name","Host Gender","Motility","Metabolism","Oxygen Requirement","Broad Oxygen Requirement","Phenotype","Relevance","Salinity","Sporulation","Temperature Range","IMG Sample Id","IMG Project Id","Scaffold Count","CRISPR Count","GC Count","GC %","Coding Base Count","Genome Size","Gene Count","CDS Count","CDS %","RNA Count","rRNA Count","5S rRNA Count","16S rRNA Count","18S rRNA Count","23S rRNA Count","28S rRNA Count","tRNA Count","Other RNA Count","Fused Count","Fused %","Fusion Component Count","Fusion component %","Pseudo Count","Pseudo %","Unchar Count","Unchar %","Obsolete Count","Obsolete %","Revised Count","Revised %","w/ Func Pred Count","w/ Func Pred %","w/o Func Pred Sim Count","w/o Func Pred Sim %","w/o Func Pred No Sim Count","w/o Func Pred No Sim %","Signal Peptide Count","Signal Peptide %","Transmembrane Count","Transmembrane %","Orthologs Count","Orthologs %`","Paralogs Count","Paralogs %","Ortholog Group Count","Paralog Group Count","SwissProt Count","SwissProt %","Not SwissProt Count","Not SwissProt %","SEED Count","SEED %","Not SEED Count","Not SEED %","COG Count","COG %","KOG Count","KOG %","Pfam Count","Pfam %","TIGRfam Count","TIGRfam %","COG Cluster Count","KOG Cluster Count","Pfam Cluster Count","TIGRfam Cluster Count","InterPro Count","InterPro %","Enzyme Count","Enzyme %","TC Count","TC %","KEGG Count","KEGG %","Not KEGG Count","Not KEGG %","KO Count","KO %","Not KO Count","Not KO %","MetaCyc Count","MetaCyc %","Not MetaCyc Count","Not MetaCyc %","IMG Term Count","IMG Term %","IMG Pathwawy Count","IMG Pathway %","IMG Parts List Count","IMG Parts List %","Chromosomal Cassette Gene Count","Chromosomal Cassette Gene %","Chromosomal Cassette Count","KEGG Organism ID","Has ATP 6PFK","Has Ppi 6PFK","Has ADP 6PFK","Has ATP 1PFK","Has Any 6PFK","Has EDD","Has EDA","Has ED Genes"
641522610,"Bacteria","Finished","Desulforudis audaxviator MP104C","Candidatus Desulforudis audaxviator MP104C",641522610,477974,59067,21047,"Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Candidatus Desulforudis","audaxviator","audaxviator MP104C","DOE Joint Genome Institute","zzz","2008-05-30","Yes","IMG/W 2.6","zzz","zzz","Gc00733","Free living","zzz","zzz","zzz","Rod-shaped","None",,,"zzz","zzz","zzz","zzz","Free living","zzz","Gram+","zzz","zzz","Motile","Nitrogen fixation, Sulfate reducer","Anaerobe","Anaerobe","zzz","Environmental","zzz","Sporulating","Mesophile","zzz",11282,1,5,1429589,0.61,2014948,2349476,2293,2239,97.65,54,6,2,2,"zzz",2,"zzz",45,3,167,7.28,952,41.52,82,3.58,"zzz","zzz","zzz","zzz","zzz","zzz",1570,68.47,649,28.3,20,0.87,368,16.05,477,20.8,2183,95.2,299,13.04,1911,119,202,8.81,2037,88.84,2153,93.89,86,3.75,1646,71.78,684,29.83,1819,79.33,936,40.82,1235,465,1361,875,1949,85,603,26.3,239,10.42,713,31.09,1526,66.55,1214,52.94,1025,44.7,440,19.19,1799,78.46,662,28.87,236,10.29,222,9.68,2156,94.03,247,"dau","True","False","False","False","True","False","False","False"
643348564,"Bacteria","Finished","LGT in Methylobacteria Proposal # 0165-051130","Methylobacterium nodulans ORS 2060",643348564,460265,59023,20477,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","nodulans","ORS 2060","DOE Joint Genome Institute","zzz","2009-02-11","Yes","IMG/W 2.8","zzz","zzz","Gc00935","Free living","Plant-root","zzz","Pairs, Singles","Rod-shaped","None","Methylotroph","C1","zzz","zzz","zzz","zzz","Free living","zzz","Gram-","Crotalaria","zzz","Motile","Nitrogen fixation","Aerobe","Aerobe","zzz","Agricultural, Biotechnological, Root Nodulating Bacteria (RNB), Root Nodulating Bacteria (RNB)","zzz","Nonsporulating","Mesophile","zzz",12159,8,4,6049764,0.68,7123764,8839022,8885,8791,98.94,94,21,7,7,"zzz",7,"zzz",73,"zzz",665,7.48,3579,40.28,483,5.44,"zzz","zzz","zzz","zzz","zzz","zzz",5140,57.85,3329,37.47,322,3.62,1829,20.59,1670,18.8,8188,92.16,3222,36.26,5638,1013,213,2.4,8578,96.54,752,8.46,8039,90.48,5370,60.44,2270,25.55,5695,64.1,1761,19.82,2067,850,2142,1276,6323,71.16,1513,17.03,946,10.65,1850,20.82,6941,78.12,2997,33.73,5794,65.21,1142,12.85,7649,86.09,992,11.16,258,2.9,359,4.04,7849,88.34,1221,"mno","False","True","False","False","True","False","True","False"
645951879,"Bacteria","Draft","Ureaplasma urealyticum K2, sv 11, ATCC 33695","Ureaplasma urealyticum K2, sv 11, ATCC 33695",645951879,526347,54751,19417,"Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma","urealyticum","serovar 11 str. ATCC 33695","J. Craig Venter Institute","zzz","2010-02-26","Yes","IMG/W 3.1","zzz","zzz","Gi01771","Free living","Urogenital tract","zzz","Singles","Coccus-shaped","Non-specific urethritis (NSU), Non-specific urethritis (NSU), Infertility, Chorioamnioitis",,,"zzz","zzz","zzz","zzz","Free living","zzz","Gram+","Homo sapiens","zzz","Nonmotile","zzz","Facultative","Facultative","Pathogen","Human Pathogen, Medical","zzz","zzz","Mesophile","zzz",12064,9,"zzz",231125,0.26,770326,886725,651,612,94.01,39,10,2,4,"zzz",4,"zzz",27,2,42,6.45,"zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz",436,66.97,176,27.04,"zzz","zzz",109,16.74,171,26.27,604,92.78,45,6.91,563,21,"zzz","zzz",612,94.01,521,80.03,91,13.98,405,62.21,218,33.49,419,64.36,262,40.25,361,188,443,262,476,73.12,178,27.34,71,10.91,220,33.79,392,60.22,358,54.99,254,39.02,106,16.28,506,77.73,165,25.35,46,7.07,90,13.82,641,98.46,50,,"False","False","False","False","False","False","False","False"
638341117,"Bacteria","Draft","Listeria monocytogenes 1/2a F6854","Listeria monocytogenes 1/2a F6854",638341117,267409,54127,10753,"Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","monocytogenes","str. 1/2a F6854","J. Craig Venter Institute","USDA","2006-10-02","Yes","IMG/W 2.0","zzz","zzz","Gi00332","Free living","Gastrointestinal tract","Intestinal tract","Chains, Singles","Rod-shaped","Food poisoning","Chemoorganotroph","Organic","zzz","zzz","zzz","zzz","Free living","zzz","Gram+","zzz","zzz","Motile","zzz","Facultative","Facultative","Pathogen","Medical, Cattle Pathogen, Animal Pathogen, Poultry Pathogen, Swine Pathogen","zzz","Nonsporulating","Mesophile","zzz",11454,133,3,1116567,0.38,2646690,2950285,3055,2967,97.12,88,21,6,6,"zzz",9,"zzz",67,"zzz",274,8.97,"zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz",2212,72.41,752,24.62,3,0.1,577,18.89,790,25.86,2938,96.17,518,16.96,2592,207,"zzz","zzz",2967,97.12,2887,94.5,80,2.62,2350,76.92,1014,33.19,2456,80.39,1052,34.44,1470,577,1530,873,2583,84.55,791,25.89,462,15.12,930,30.44,2037,66.68,1535,50.25,1432,46.87,540,17.68,2427,79.44,886,29,323,10.57,290,9.49,2998,98.13,273,,"False","False","False","False","False","False","False","False"
640427116,"Bacteria","Finished","Haemophilus influenzae NTHi PittEE","Haemophilus influenzae NTHi PittEE",640427116,374930,58591,16400,"Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","influenzae","PittEE","Allegheny-Singer Research Institute","zzz","2007-06-28","Yes","IMG/W 2.3","zzz","zzz","Gc00579","Free living","Ear","zzz","zzz","Rod-shaped","Septicemia, Meningitis, Chronic bronchitis, Sinusitis, Otitis media",,,"zzz","zzz","zzz","zzz","Free living","zzz","Gram-","Homo sapiens","zzz","Nonmotile","zzz","Facultative","Facultative","Pathogen","Medical, Human Pathogen","zzz","zzz","Mesophile","zzz",10106,1,"zzz",689682,0.38,1479488,1813020,1757,1623,92.37,134,18,7,6,"zzz",5,"zzz",96,20,113,6.43,694,39.5,"zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz",1265,72,352,20.03,6,0.34,266,15.14,337,19.18,1603,91.24,86,4.89,1535,40,424,24.13,1199,68.24,1456,82.87,167,9.5,1406,80.02,611,34.78,1428,81.27,850,48.38,1203,468,1279,873,1504,85.6,627,35.69,263,14.97,672,38.25,951,54.13,1220,69.44,403,22.94,435,24.76,1188,67.62,561,31.93,206,11.72,189,10.76,1740,99.03,177,"hip","True","False","False","True","True","False","True","False"
640427117,"Bacteria","Finished","Haemophilus influenzae NTHi PittGG","Haemophilus influenzae NTHi PittGG",640427117,374931,58593,16401,"Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","influenzae","PittGG","Allegheny-Singer Research Institute","zzz","2007-06-28","Yes","IMG/W 2.3","zzz","zzz","Gc00580","Free living","Ear","zzz","zzz","Rod-shaped","Sinusitis, Septicemia, Otitis media, Meningitis, Chronic bronchitis",,,"zzz","zzz","zzz","zzz","Free living","zzz","Gram-","Homo sapiens","zzz","Nonmotile","zzz","Facultative","Facultative","Pathogen","Human Pathogen, Medical","zzz","zzz","Mesophile","zzz",10105,1,"zzz",717306,0.38,1454981,1887182,1798,1670,92.88,128,18,7,6,"zzz",5,"zzz",91,19,105,5.84,678,37.71,"zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz",1174,65.29,486,27.03,10,0.56,266,14.79,358,19.91,1642,91.32,89,4.95,1564,40,393,21.86,1277,71.02,1484,82.54,186,10.34,1392,77.42,599,33.31,1417,78.81,819,45.55,1185,464,1265,833,1499,83.37,593,32.98,261,14.52,634,35.26,1036,57.62,1191,66.24,479,26.64,409,22.75,1261,70.13,536,29.81,203,11.29,184,10.23,1756,97.66,227,"hiq","True","False","False","True","True","False","False","False"
640612207,"Bacteria","Draft","Haemophilus influenzae NTHi PittHH","Haemophilus influenzae NTHi PittHH",640612207,374932,54393,16403,"Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","influenzae","PittHH","Allegheny-Singer Research Institute","zzz","2007-06-28","Yes","IMG/W 2.3","zzz","zzz","Gi01498","Free living","Ear","zzz","zzz","Rod-shaped","Meningitis, Chronic bronchitis, Otitis media, Sinusitis, Septicemia",,,"zzz","zzz","zzz","zzz","Free living","zzz","Gram-","Homo sapiens","zzz","Nonmotile","zzz","Facultative","Facultative","Pathogen","Medical, Human Pathogen","zzz","zzz","Mesophile","zzz",11408,59,"zzz",698274,0.38,1650954,1837347,2022,1977,97.77,45,5,1,2,"zzz",2,"zzz",40,"zzz",122,6.03,"zzz","zzz","zzz","zzz","zzz","zzz",1,"zzz","zzz","zzz",1477,73.05,482,23.84,18,0.89,314,15.53,431,21.32,1947,96.29,95,4.7,1771,45,"zzz","zzz",1977,97.77,447,22.11,1530,75.67,1649,81.55,667,32.99,1665,82.34,933,46.14,1303,496,1382,927,1778,87.93,639,31.6,320,15.83,678,33.53,1299,64.24,1255,62.07,722,35.71,440,21.76,1537,76.01,584,28.88,216,10.68,194,9.59,1996,98.71,135,,"False","False","False","False","False","False","False","False"
640612208,"Bacteria","Draft","Haemophilus influenzae NTHi PittII","Haemophilus influenzae NTHi PittII",640612208,374933,54395,16404,"Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","influenzae","PittII","Allegheny-Singer Research Institute","zzz","2007-06-28","Yes","IMG/W 2.3","zzz","zzz","Gi01499","Free living","Ear","zzz","zzz","Rod-shaped","Chronic bronchitis, Meningitis, Sinusitis, Septicemia, Otitis media",,,"zzz","zzz","zzz","zzz","Free living","zzz","Gram-","Homo sapiens","zzz","Nonmotile","zzz","Facultative","Facultative","Pathogen","Human Pathogen, Medical","zzz","zzz","Mesophile","zzz",11409,25,"zzz",742854,0.38,1761020,1954291,2094,2028,96.85,66,19,7,6,"zzz",6,"zzz",47,"zzz",121,5.78,"zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz",1476,70.49,538,25.69,14,0.67,346,16.52,431,20.58,1996,95.32,134,6.4,1847,62,"zzz","zzz",2028,96.85,1286,61.41,742,35.43,1643,78.46,682,32.57,1707,81.52,966,46.13,1321,501,1436,956,1800,85.96,648,30.95,316,15.09,683,32.62,1345,64.23,1282,61.22,746,35.63,438,20.92,1590,75.93,584,27.89,216,10.32,199,9.5,2080,99.33,131,,"False","False","False","False","False","False","False","False"
649989956,"Bacteria","Draft","Human Microbiome Project (HMP) Reference Genomes","Kingella denitrificans ATCC 33394",649989956,888741,63429,53051,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Kingella","denitrificans","ATCC 33394","BCM-HGSC","zzz","2011-03-26","Yes","IMG/W 3.4","zzz","zzz","Gi04965","Free living","Airways","Pharyngeal mucosa","zzz","zzz","None",,,"zzz","zzz","zzz","zzz","Free living","zzz","Gram-","Homo sapiens","zzz","zzz","zzz",,,"zzz","Human Microbiome Project (HMP), Medical","zzz","zzz","Mesophile","zzz",15516,57,"zzz",1182633,0.54,1978616,2186592,2574,2518,97.82,56,3,1,1,"zzz",1,"zzz",50,3,109,4.23,"zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz",3,"zzz",1617,62.82,523,20.32,378,14.69,952,36.99,547,21.25,2252,87.49,61,2.37,2116,21,"zzz","zzz",2518,97.82,1,0.04,2517,97.79,1585,61.58,698,27.12,1574,61.15,826,32.09,1279,537,1366,825,1986,77.16,577,22.42,253,9.83,602,23.39,1916,74.44,1100,42.74,1418,55.09,426,16.55,2092,81.27,243,9.44,97,3.77,71,2.76,2550,99.07,100,,"False","False","False","False","False","False","False","False"
643348560,"Bacteria","Finished","Klebsiella pneumoniae 342","Klebsiella pneumoniae 342",643348560,507522,59145,28471,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella","pneumoniae",342,"J. Craig Venter Institute","zzz","2009-02-11","Yes","IMG/W 2.8","zzz","zzz","Gc00841","Symbiotic","zzz","zzz","Singles, Pairs, Chains","Rod-shaped","zzz",,,"zzz","zzz","zzz","zzz","Symbiotic","zzz","Gram-","Zea mays","zzz","Motile","Nitrogen fixation","Facultative","Facultative","zzz","zzz","zzz","zzz","Mesophile","zzz",11430,3,1,3366797,0.57,5209026,5920257,5881,5768,98.08,113,25,9,8,"zzz",8,"zzz",88,"zzz",627,10.66,2943,50.04,"zzz","zzz","zzz","zzz","zzz","zzz","zzz","zzz",4437,75.45,1137,19.33,194,3.3,1238,21.05,1090,18.53,5573,94.76,1332,22.65,4644,509,691,11.75,5077,86.33,480,8.16,5288,89.92,4477,76.13,1754,29.82,4806,81.72,1953,33.21,2190,773,2331,1541,5038,85.67,1603,27.26,1107,18.82,1780,30.27,3988,67.81,3322,56.49,2446,41.59,1113,18.93,4655,79.15,1028,17.48,269,4.57,309,5.25,5805,98.71,518,"kpe","True","False","False","True","True","True","True","True"
